"title","subTit","date","contents","tags","type","services","schedule","minPrice","maxPrice","cash","cards","mCard","amex","visa","state","del","quarter","zip.code","street","corner","inBetween","numExt","numInt","lat","lon","tel","web","score"
"lostería becco","",2017-05-19 10:00:00,"dónde goldsmith polanco reforma ir dale glamour fin sofisticado restaurante italiano polanco oferta gastronómica fusiona recetas italianas tradicionales tendencias vanguardistas cava surreal cuenta botellas ambiente mezcla diplomáticos extranjeros empresarios jóvenes cosmopolita recomendación paglia fieno ragú danatra pasta hecha mano especie salsa boloñesa carne pato pese aspecto estético mejor restaurante facebook","valet parking  internet inalámbrico  italiana  estacionamiento cercano  reservación requerida  área fumar  servicio domicilio  terraza  cena romántica  facilidades discapacitados  cena después horas ","italiana","italiana área fumar cena después horas estacionamiento cercano facilidades discapacitados internet inalámbrico reservación requerida servicio domicilio terraza valet parking cena romántica ","lun-sáb 13:30-00 h, dom 13-18 h",1000,1500,1,1,1,1,1,"Ciudad de México","Miguel Hidalgo","Polanco",11550,"Goldsmith","","Presidente Masaryk","103","",19.4326706,-99.20057,"5282 1059","",""
"fonda "," mejores representantes comida yucateca",2017-06-23 11:43:00," porciones chiquitas cola entrar larga vez pruebas sopa lima cobra sentido sigue ruta cochinita pibil taquitos panuchos orden completa frijoles bien date festin platos yucatecos taco queso relleno rico pavo escabeche segun dia platillos especiales mundo vayas probar horchata facebook twitter fonda","mexicana ","mexicana","mexicana ","mar-sáb 13-20 h, dom 13-18 h.",100,200,1,0,0,0,0,"Ciudad de México","Benito Juárez","Del Valle",NA,"Moras","","Patricio Sanz","347","",19.3753651,-99.173473,"5559 8762","",""
"food trade center","",2017-02-21 10:27:00,"fbfoodtcmx","sinópsis  internacional ","internacional","internacional ","lun-mié 13-22 h, jue-sáb 13-1 h",150,350,1,1,NA,NA,NA,"Ciudad de México","Benito Juárez","Nápoles",3810,"Maricopa","Dakota","","57","",19.3956172,-99.1741112,"5087 9662","",""
"pasillo humo","",2017-02-21 10:08:00,"fbpasillodehumo","sinópsis  abierto domingo  oaxaqueña ","oaxaqueña","oaxaqueña abierto domingo ","lun-dom 9-19 h",350,500,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Nuevo León","","Michoacán","107","",19.4108943,-99.1726896,"5211 7263","",""
"pixza roma","",2017-02-19 23:19:00,"","sinópsis  abierto domingo  fusión ","fusión","fusión abierto domingo ","mar-jue 13-21 h y vie-sáb 14-22 h y dom 14-20 h",100,150,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"Córdoba","","Coahuila","234","",19.412147,-99.1569535,"2121 0973","",""
"pollos mario"," sabor colombia diferentes platillos",2017-06-27 12:12:00," traen plato fuerte dale roscones brazo reina prueba lechona mario sabor colombia sancocho pescado gallina sopa verduras carne bandeja paisa muestra mayor si traes mucha hambre pide media racion lechona bandeja curiosidad completa media orden pollo mario aventurate agua panela jarra leche mora curuba fruta tropical maracuya ","internacional ","internacional","internacional ","lun-dom 9-19:30 h",100,150,1,0,1,0,1,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"Medellín","Tapachula","","197","",19.4115278,-99.1645214,"4171 9346","",""
" nazarenas","",2017-02-15 09:43:00,"","sinópsis  pescados mariscos ","pescados mariscos","pescados mariscos ","mie-lun 13-17 h",0,0,1,NA,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Roma Sur",6760,"Tehuantepec","Chilpancingo","","254","",19.4038047,-99.1685557,"1596 4630","",""
" caméleón","",2017-02-14 12:55:00,"","sinópsis ","","","lun-vie 9-17 h",100,300,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Obrera",6800,"Manuel Payno","","Isabel la Católica","87","",19.4139869,-99.1397767,"5578 0141","",""
"bowie","",2017-02-10 11:15:00,"gallery tdselectgalleryslideslide columns ids orderbyrandpor sasha gamboa nombre dueños eligieron restaurante sólo hace honor david bowietambién pequeña localidad texana llamada así inventaron cuchillo pelea parecido utilizan partir carne llamabowie knife especialidad cocina humo consigue gracias horno rústico utiliza tiempos mayas lleva nombre pibdentro ingredientes exponen distintos métodos cocción carpaccio betabel ejemplo pasa directamente agua leña carbón mezquite tome sabor ahumado asimismo acompaña zanahorias rostizadas incineradas puedas percibir preparaciónel platillo llega caja tapa transparente encapsular humo ingredientemás vegetalespescados cortes carne aves ginebra gins humo toronja campari mezclan directamente mesa beberse huele sabe romerito quemado lugar música tipo lounge carta corta oferta variada si antojo mariscos pide pulpo torero chorizo chicharrón si comes carne debes probar short rib puré calabaza salsa whiskypor cierto lugar carta whiskys artesanales maridan bien sabor ahumado platos bowiemx nota restaurante abrió principio ensanta catarina san ángel","critica  internacional  valet parking  internet inalámbrico ","internacional","internacional valet parking internet inalámbrico ","lun-mie 13:30-00 h, jue-sab 13:30-1 h, dom 13:30-21 h",400,600,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"Córdoba","","Álvaro Obregón","113","",19.4180895,-99.1584495,"5264 2622","http://www.bowie.com.mx/","Atención:3 - Calidad:3 - Ambiente:3 -"
"koku","nuevo spot roma comida japonesa",2017-06-26 09:35:00,"koku inició velocidad campeonato encuentras cocina chef takeya matsumoto sabes aterrizaste lugar correcto ser primo hermano kura nuevo local cuauhtémoc genética sazón japonesa conquistó escena gastronómica roma menú encuentras elementos clásicos cocina país oriente dejar lado toque mexicano combinación culturas topamos creaciones bluefin tuna and avocado ceviche atún aguacate brotes ajonjolí chef orgullosamente presume ebi yakimeshi arroz calabaza pizca jengibre camarones empanizados salsa ostión aunque platillo dulce aventúrate unas gotas soya agradecerás postres esperan pacientes acerques recta final tiramisú matcha camina paso lento llegar mesa gustos fríos prueba helados convencionales lychee ajonjolí negro frijol rojo té verde visita semana asegura lugar terraza trasera fin repleto familias curiosas conocer concepto zona momento introspección personal toma asiento barra déjate consentir vista cocina abierta nuevo spot oriental puede presumir diseno basado madera amplia barra podras ver preparaciones cocina fria caliente dentro especialidades estan cocteles sake tambien muchas opciones buenos precios taco moo moo costilla res gyozas carne cono robalo abundante yakiniku don bowl arroz carne lomo cerdo empanizado sera favorito zona sabemos facebook","critica  japonesa ","japonesa","japonesa ","lun-dom 11:30-00 h",350,450,1,1,0,0,0,"Ciudad de México","Cuauhtémoc","Cuauhtémoc",6500,"Río Lerma","","Río Tigris","94","",19.4298193,-99.1661106,"5207 3344","","Atención:4 - Calidad:4 - Ambiente:4 -"
"chaen","",2017-02-10 08:45:00,"gallery tdselectgalleryslideslide columns ids orderbyrand fbrestauranteytejapones","sinópsis  japonesa ","japonesa","japonesa ","lun-sáb 11-20 h",200,350,0,0,0,0,0,"Ciudad de México","Benito Juárez","Nápoles",3810,"Prolongación Eugenia","","Nebraska","23","",19.3892287,-99.1754646,"5536 8481","",""
"tokyo","",2017-02-09 10:00:00,"platillos típicos cocina japonesa arroz vapor tempura teriyaki sushi buen precio necesario comer palillos cubiertos","sinópsis  japonesa ","japonesa","japonesa ","lun-dom 11-23 h",200,400,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Juárez",6600,"Hamburgo","","Amberes","134","",19.4260017,-99.1652613,"5525 3775","",""
"chuck cheeses interlomas","",2017-01-31 14:18:00,"","sinópsis  americana  area niños ","americana","americana area niños ","lun-jue 11-21 h, vie-dom 10-22 h.",200,400,1,1,NA,NA,NA,"Ciudad de México","Miguel Hidalgo","Granada",11520,"Ejército Nacional","Miguel de Cervantes Saavedra","","769","",19.4390389,-99.2008376,"","",""
"chuck cheeses coyoacán","",2017-01-31 14:08:00,"","sinópsis  americana  area niños ","americana","americana area niños ","lun-jue 11-21 h, vie-dom 10-22 h",200,400,1,1,NA,NA,NA,"Ciudad de México","Coyoacán","Romero De Terreros",4310,"Miguel Ángel de Quevedo","Universidad","","1778","",19.3464322,-99.1788566,"5292 4789","",""
